Id,Postcode,Latitude,Longitude
585,S1 2LB,53.379136,-1.468368
586,NR7 0XS,52.636136,1.355735
587,SW12 0AB,51.447913,-0.14478
588,CH43 8SQ,53.394264,-3.052724
589,B9 4AR,52.476637,-1.882565
590,BS14 9BZ,51.423243,-2.569179
591,BS1 2LZ,51.455989,-2.592673
592,LN2 1JS,53.230395,-0.539446
593,N1 6LP,51.530262,-0.080091
594,M1 6FQ,53.475586,-2.241402
595,M1 5BW,53.472598,-2.242874
596,NR3 1JD,52.638021,1.296642
597,YO31 7NH,53.968886,-1.076877
598,DA11 8BG,51.433434,0.342422
599,L17 1AG,53.384741,-2.929788
600,WS1 4SA,52.565519,-1.991164
601,WS2 9EQ,52.58064,-1.995264
602,HD1 3LD,53.641502,-1.786329
603,WF13 2NP,53.694913,-1.632995
604,NE21 4BQ,54.9612,-1.722608
605,TN30 6LT,51.076742,0.693896
606,RG1 5RQ,51.447879,-0.939788
607,HA6 1QG,51.60308,-0.406654
608,CT17 0AS,51.126768,1.288774
609,OX17 2QR,52.076373,-1.270577
610,CT21 4HL,51.081624,1.065764
611,TS14 6BU,54.537441,-1.048084
612,TS19 0QD,54.571178,-1.340049
613,WF9 2UJ,53.601817,-1.292655
614,BH11 9JW,50.764524,-1.920267
615,TA1 3DZ,51.007985,-3.092401
616,ME16 0TJ,51.280329,0.50996
617,W6 8RB,51.489432,-0.217235
618,UB8 1NQ,51.549947,-0.469124
619,UB3 3BB,51.515631,-0.412179
620,SO50 5ZA,50.962548,-1.366101
621,IP24 1LH,52.42753,0.756732
622,E6 6ER,51.531751,0.054842
623,E15 4HT,51.539819,0.008163
